problem   ,criterion ,notape,tape,ratio,routes,iterations,clients,maxroutes,current,total
 A-N33-K5  , RAB       ,0.003,0.006,2,16,7,33,1,1,30
 A-N33-K5  , RAB       ,0.003,0.01,3.33333333333333,12,9,33,1,2,30
 A-N33-K5  , RAB       ,0.006,0.017,2.83333333333333,13,11,33,1,3,30
 A-N33-K5  , RAB       ,0.003,0.006,2,12,6,33,1,4,30
 A-N33-K5  , RAB       ,0.004,0.006,1.5,16,5,33,1,5,30
 A-N33-K5  , RAB       ,0.004,0.016,4,14,10,33,1,6,30
 A-N33-K5  , RAB       ,0.009,0.011,1.22222222222222,13,7,33,1,7,30
 A-N33-K5  , RAB       ,0.001,0.002,2,22,2,33,1,8,30
 A-N33-K5  , RAB       ,0.002,0.003,1.5,16,5,33,1,9,30
 A-N33-K5  , RAB       ,0.002,0.004,2,16,6,33,1,10,30
 A-N33-K5  , RAB       ,0.004,0.01,2.5,11,8,33,1,11,30
 A-N33-K5  , RAB       ,0.002,0.005,2.5,19,4,33,1,12,30
 A-N33-K5  , RAB       ,0.002,0.003,1.5,15,5,33,1,13,30
 A-N33-K5  , RAB       ,0.005,0.008,1.6,14,8,33,1,14,30
 A-N33-K5  , RAB       ,0.002,0.007,3.5,14,5,33,1,15,30
 A-N33-K5  , RAB       ,0.003,0.008,2.66666666666667,12,7,33,1,16,30
 A-N33-K5  , RAB       ,0.002,0.002,1,17,4,33,1,17,30
 A-N33-K5  , RAB       ,0.004,0.004,1,13,5,33,1,18,30
 A-N33-K5  , RAB       ,0.001,0.002,2,20,2,33,1,19,30
 A-N33-K5  , RAB       ,0.001,0.001,1,23,2,33,1,20,30
 A-N33-K5  , RAB       ,0.002,0.007,3.5,16,6,33,1,21,30
 A-N33-K5  , RAB       ,0.002,0.003,1.5,17,5,33,1,22,30
 A-N33-K5  , RAB       ,0.001,0.002,2,19,4,33,1,23,30
 A-N33-K5  , RAB       ,0.004,0.005,1.25,18,7,33,1,24,30
 A-N33-K5  , RAB       ,0.002,0.005,2.5,16,5,33,1,25,30
 A-N33-K5  , RAB       ,0.002,0.006,3,16,6,33,1,26,30
 A-N33-K5  , RAB       ,0.003,0.005,1.66666666666667,17,8,33,1,27,30
 A-N33-K5  , RAB       ,0.006,0.012,2,15,11,33,1,28,30
 A-N33-K5  , RAB       ,0.003,0.007,2.33333333333333,12,8,33,1,29,30
 A-N33-K5  , RAB       ,0.002,0.006,3,18,6,33,1,30,30
 A-N33-K5  , RAB       ,0.012,0.051,4.25,4,19,33,0,1,30
 A-N33-K5  , RAB       ,0.019,0.06,3.15789473684211,4,25,33,0,2,30
 A-N33-K5  , RAB       ,0.017,0.047,2.76470588235294,4,21,33,0,3,30
 A-N33-K5  , RAB       ,0.014,0.036,2.57142857142857,4,16,33,0,4,30
 A-N33-K5  , RAB       ,0.016,0.055,3.4375,4,22,33,0,5,30
 A-N33-K5  , RAB       ,0.012,0.042,3.5,4,18,33,0,6,30
 A-N33-K5  , RAB       ,0.012,0.051,4.25,4,16,33,0,7,30
 A-N33-K5  , RAB       ,0.012,0.028,2.33333333333333,4,14,33,0,8,30
 A-N33-K5  , RAB       ,0.016,0.062,3.875,4,20,33,0,9,30
 A-N33-K5  , RAB       ,0.017,0.043,2.52941176470588,4,19,33,0,10,30
 A-N33-K5  , RAB       ,0.015,0.044,2.93333333333333,4,17,33,0,11,30
 A-N33-K5  , RAB       ,0.015,0.035,2.33333333333333,4,14,33,0,12,30
 A-N33-K5  , RAB       ,0.017,0.043,2.52941176470588,4,17,33,0,13,30
 A-N33-K5  , RAB       ,0.022,0.059,2.68181818181818,4,22,33,0,14,30
 A-N33-K5  , RAB       ,0.014,0.045,3.21428571428571,4,18,33,0,15,30
 A-N33-K5  , RAB       ,0.018,0.064,3.55555555555556,4,20,33,0,16,30
 A-N33-K5  , RAB       ,0.016,0.036,2.25,4,14,33,0,17,30
 A-N33-K5  , RAB       ,0.016,0.056,3.5,4,19,33,0,18,30
 A-N33-K5  , RAB       ,0.018,0.047,2.61111111111111,4,21,33,0,19,30
 A-N33-K5  , RAB       ,0.021,0.054,2.57142857142857,4,24,33,0,20,30
 A-N33-K5  , RAB       ,0.017,0.043,2.52941176470588,4,17,33,0,21,30
 A-N33-K5  , RAB       ,0.012,0.042,3.5,4,17,33,0,22,30
 A-N33-K5  , RAB       ,0.013,0.052,4,4,18,33,0,23,30
 A-N33-K5  , RAB       ,0.01,0.039,3.9,4,16,33,0,24,30
 A-N33-K5  , RAB       ,0.016,0.041,2.5625,4,15,33,0,25,30
 A-N33-K5  , RAB       ,0.021,0.054,2.57142857142857,4,23,33,0,26,30
 A-N33-K5  , RAB       ,0.012,0.042,3.5,4,18,33,0,27,30
 A-N33-K5  , RAB       ,0.015,0.04,2.66666666666667,4,17,33,0,28,30
 A-N33-K5  , RAB       ,0.015,0.029,1.93333333333333,4,14,33,0,29,30
 A-N33-K5  , RAB       ,0.02,0.054,2.7,4,19,33,0,30,30
 A-N33-K5  , RARB      ,0.122,0.307,2.51639344262295,16,28,33,1,1,30
 A-N33-K5  , RARB      ,0.073,0.212,2.9041095890411,12,22,33,1,2,30
 A-N33-K5  , RARB      ,0.122,0.288,2.36065573770492,13,27,33,1,3,30
 A-N33-K5  , RARB      ,0.083,0.268,3.2289156626506,12,26,33,1,4,30
 A-N33-K5  , RARB      ,0.188,0.397,2.11170212765957,16,33,33,1,5,30
 A-N33-K5  , RARB      ,0.117,0.312,2.66666666666667,14,32,33,1,6,30
 A-N33-K5  , RARB      ,0.105,0.289,2.75238095238095,13,28,33,1,7,30
 A-N33-K5  , RARB      ,0.124,0.334,2.69354838709677,22,27,33,1,8,30
 A-N33-K5  , RARB      ,0.129,0.311,2.41085271317829,16,28,33,1,9,30
 A-N33-K5  , RARB      ,0.099,0.266,2.68686868686869,16,26,33,1,10,30
 A-N33-K5  , RARB      ,0.097,0.342,3.52577319587629,11,29,33,1,11,30
 A-N33-K5  , RARB      ,0.095,0.249,2.62105263157895,19,23,33,1,12,30
